date,ramadan
03/06/2019,1
04/06/2019,1
06/06/2016,1
07/06/2016,1
08/06/2016,1
09/06/2016,1
10/06/2016,1
11/06/2016,1
12/06/2016,1
13/06/2016,1
14/06/2016,1
15/06/2016,1
16/06/2016,1
17/06/2016,1
18/06/2016,1
19/06/2016,1
20/06/2016,1
21/06/2016,1
22/06/2016,1
23/06/2016,1
24/06/2016,1
25/06/2016,1
26/06/2016,1
27/06/2016,1
28/06/2016,1
29/06/2016,1
30/06/2016,1
01/07/2016,1
02/07/2016,1
03/07/2016,1
04/07/2016,1
05/07/2016,1
09/07/2013,1
10/07/2013,1
11/07/2013,1
12/07/2013,1
13/07/2013,1
14/07/2013,1
15/07/2013,1
16/07/2013,1
17/07/2013,1
18/07/2013,1
19/07/2013,1
20/07/2013,1
21/07/2013,1
22/07/2013,1
23/07/2013,1
24/07/2013,1
25/07/2013,1
26/07/2013,1
27/07/2013,1
28/07/2013,1
29/07/2013,1
30/07/2013,1
31/07/2013,1
01/08/2013,1
02/08/2013,1
03/08/2013,1
04/08/2013,1
05/08/2013,1
06/08/2013,1
07/08/2013,1
