date_de_debut;date_de_fin;motif;organisations_syndicales;metiers_cibles;population;nombre_grevistes;taux_grevistes
2013-06-12;2013-06-14;Réforme ferroviaire, respect de la réglementation du travail, emploi, salaires, restructurations, prise en compte de la sureté et de la sécurité des agents, perspective de relance du fret, fin du pilotage par activité, maintien des prestations familiales au sein de SNCF.;"CGT;UNSA;SUD;CFDT";"conducteur;agent de manoeuvre;chef de bord;bâtiment;accueil en gare et vente;énergie;logistique;ingénierie et maintenance du matériel roulant;service médical;sûreté ferroviaire;conducteur;chef de bord;régulation et circulation ferroviaire;infrastructure";130956.0;47264.0;36.1
2013-07-06;;Le changement de service été 2013;CFDT;"conducteur;conducteur";1290.0;38.0;2.9
2013-10-08;2013-10-10;Communication des enquêtes et études suite à la catastrophe de Brétigny, Une autre prise en compte de la sûreté des agents, Le respect des dispositions statutaires et réglementaires notamment en matière de recrutements, de formation, d'application des procédures,... L'arrêt de l'utilisation abusive d'emplois précaires, de stagiaires et alternants sur des postes de cheminots,... L'emploi et les recrutements au cadre permananent avec une réévaluation, à la hausse, des effectifs de l'EPIC pour l'année 2013, Un travail sur les organisations de la production qui impactent les différents services et métiers afin de faire progresser l'efficience globale de notre entreprise publique et une meilleure mutualisation des moyens en articulant les organisations du travail autour des métiers dans le but d'avoir sur le territoire une entreprise réactive, efficace et faire en sorte que les cheminots puissent mieux travailler ensemble.;CGT;"action sociale;conducteur;agent de manoeuvre;chef de bord;bâtiment;accueil en gare et vente;énergie;logistique;ingénierie et maintenance du matériel roulant;service médical;sûreté ferroviaire;conducteur;chef de bord;régulation et circulation ferroviaire;infrastructure";128637.0;15212.0;11.8
2014-02-04;2014-02-05;Création d'un pôle renfort multi-tâches sur la base du volontariat composé de 3 agents, Création de 2 postes d'assistants ACM, Création d'un pôle forfaits afin de soulager la charge de travail des agents effectuant ces tâches sur le plateau d'appel, Mise en place en janvier 2014 d'un retour aux agents concernant le sujet des RRR, L'abandon de la mise en concurrence des équipes, Mise en place d'une feuille type concernant les irritants analysés, Un tes type Marguerite sur le plateau, Octroi d'équipements téléphoniques adaptés à l'environnement des plateaux d'appel, Embauche des CDD, intérimaires au cadre permanent ou RH 254 si les conditions d'admission au Statut ne sont pas réunies.;CGT;accueil en gare et vente;94.0;25.0;26.6
2014-05-21;2014-05-23;Prise en compte de la pénibilité pour les vendeurs et télévendeurs, moratoires sur les réorganisations, arrêt des fermetures et réductions des points de vente, arrêt de la distribution exclusive sur internet, arrêt des externalisations de tâches, arrêt de la surtaxe des appels dans les CLD, maintien des tâches sécurité au sol pour les agents Transports mouvement affectés à l'escale, intégration des CDD, arrêt des déclassements de poste, etc.;"CGT;UNSA;SUD";"accueil en gare et vente;régulation et circulation ferroviaire";19764.0;4824.0;24.4
2015-01-29;2015-01-29;Ouverture de négociations sur la réforme de la SNCF;SUD, CGT;tous métiers;98338.0;6158.0;6.3
2015-07-31;2015-09-09;Non présentation d’un plan détaillé des départs à la retraite régions par régions, Elaboration et présentation d’un plan d’embauche national détaillé région par région.;SUD;tractionnaires;4931.0;686.0;1.4
2016-02-04;2016-04-04;Emplois menacés, externalisation et précarisation des tâches du commercial voyageurs, attaque contre les chemins de fer;Sud-Rail;;;;2.8
2016-03-08;2016-03-08;Parité dans l'entreprise (journée internationale de la femme);Sud-Rail;;;;0.6
2016-05-17;2016-07-11;Statut et reglémentation du travail. Amélioration du RH0077;Sud-Rail;;;;
2016-06-01;2016-06-01;"Périmètre GPF; emplois, arrêt des restructurations, négociations salariales, ex-apprentis";UNSA, CGT;;;;17.0
2017-03-06;;« Répression syndicale »;Sud Rail;;;;0.4
2017-03-08;;Egalité des droits H/F;Sud Rail, CGT;;;;0.4
2017-03-28;;Politique Logement;CGT;;;;0.4
2017-09-12;;Ordonnances Code du travail / Politique d'entreprise;CGT, SUD-Rail, FO (région);;;;17.4
2017-11-16;;Politique libérale du gouvernement / Politique d'entreprise;CGT, Sud Rail, FO;;;;8.5
2018-04-08;;Reforme de la SNCF;CGT, UNSA, SUD-RAIL, CFDT, FO;;;;30.5
2018-04-28;;Reforme de la SNCF;CGT, UNSA, SUD-RAIL, CFDT, FO;;;;24.4
2018-05-04;;Reforme de la SNCF;CGT, UNSA, SUD-RAIL, CFDT, FO;;;;17.1
2018-05-19;;Reforme de la SNCF;CGT, UNSA, SUD-RAIL, CFDT, FO;;;;27.3
2018-05-23;;Reforme de la SNCF;CGT, UNSA, SUD-RAIL, CFDT, FO;;;;14.2
2018-06-03;;Reforme de la SNCF;CGT, UNSA, SUD-RAIL, CFDT, FO;;;;24.9
2018-06-07;;Reforme de la SNCF;CGT, UNSA, SUD-RAIL, CFDT, FO;;;;14.3
2018-06-18;;Reforme de la SNCF;CGT, UNSA, SUD-RAIL, CFDT, FO;;;;10.8
2018-06-27;;Reforme de la SNCF;CGT, UNSA, SUD-RAIL, CFDT, FO;;;;8.4
2018-06-28;;Reforme de la SNCF;CGT, UNSA, SUD-RAIL, CFDT, FO;;;;10.3
2019-09-24;;Journée interpro du 24 septembre;CGT, SUD-Rail;;;;20.2
2019-12-30;;Réforme des retraites;CGT, SUD-Rail, CFDT, FO, UNSA;;;;7.1
2020-01-02;;Réforme des retraites;CGT, SUD-Rail, CFDT, FO, UNSA;;;;6.9
2020-01-05;;Réforme des retraites;CGT, SUD-Rail, CFDT, FO, UNSA;;;;12.6
2020-01-06;;Réforme des retraites;CGT, UNSA, SUD-RAIL, CFDT, FO;;;;6.3
2020-01-11;;Réforme des retraites;CGT, UNSA, SUD-RAIL, CFDT, FO;;;;18.7
2020-01-12;;Réforme des retraites;CGT, UNSA, SUD-RAIL, CFDT, FO;;;;13.8
2020-01-13;;Réforme des retraites;CGT, UNSA, SUD-RAIL, CFDT, FO;;;;4.3
2020-01-19;;Réforme des retraites;CGT, UNSA, SUD-RAIL, CFDT, FO;;;;6.6
2020-01-29;;Réforme des retraites;CGT, UNSA, SUD-RAIL, CFDT, FO;;;;5.7
