Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0440644L;Ecole primaire Gay-Lussac;ECOLE PRIMAIRE PUBLIQUE;GAY-LUSSAC;Public;13 rue Corentin Bourveau;;;44300;NANTES;Nantes;358054.4;6690624.5;EPSG:2154;47.2277821750848;-1.521610387338125;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2277821751,-1.52161038734;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-07
0440661E;Ecole élémentaire Léon Blum;ECOLE ELEMENTAIRE PUBLIQUE;LEON BLUM;Public;5 rue Léon Blum;;;44000;NANTES;Nantes;355422.9;6689796.6;EPSG:2154;47.21898021823771;-1.5556994103874435;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2189802182,-1.55569941039;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-07
0440668M;Ecole élémentaire Plessis Cellier;ECOLE ELEMENTAIRE PUBLIQUE;PLESSIS CELLIER;Public;59 rue des Alouettes;;;44100;NANTES;Nantes;351499.6;6688066.0;EPSG:2154;47.201378399311054;-1.6061197417294204;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2013783993,-1.60611974173;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-08
0440674U;Ecole élémentaire Port Boyer;ECOLE ELEMENTAIRE PUBLIQUE;PORT BOYER;Public;53 rue de l'Eraudière;;;44300;NANTES;Nantes;356637.3;6692075.0;EPSG:2154;47.24008726924601;-1.5414096717800474;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2400872692,-1.54140967178;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-08
0440691M;Ecole primaire Les Batignolles;ECOLE PRIMAIRE;BATIGNOLLES;Public;45 route de Paris;;;44300;NANTES;Nantes;358441.4;6693291.6;EPSG:2154;47.25195305392485;-1.518520117042086;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2519530539,-1.51852011704;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-08
0440694R;Ecole maternelle Joseph Blanchart;ECOLE MATERNELLE PUBLIQUE;JOSEPH BLANCHART;Public;94 rue Joseph Blanchart;;;44100;NANTES;Nantes;353700.7;6688427.8;EPSG:2154;47.20578175386947;-1.5773700897965257;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2057817539,-1.5773700898;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-08
0440699W;Ecole maternelle La Chauvinière;ECOLE MATERNELLE PUBLIQUE;CHAUVINIERE;Public;32 boulevard de la Chauvinière;;;44300;NANTES;Nantes;354252.7;6693683.1;EPSG:2154;47.25330179589951;-1.5741094968727076;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2533017959,-1.57410949687;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-08
0440700X;Ecole maternelle Le Chêne d'Aron;ECOLE MATERNELLE PUBLIQUE;CHENE D ARON;Public;4 rue du Chêne d'Aron;;;44000;NANTES;Nantes;355029.1;6689043.4;EPSG:2154;47.21200614370755;-1.560319853666957;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2120061437,-1.56031985367;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-08
0440719T;Ecole maternelle Lucie Aubrac;ECOLE MATERNELLE PUBLIQUE;LUCIE AUBRAC;Public;45 boulevard Jean Moulin;;;44100;NANTES;Nantes;352058.3;6688752.4;EPSG:2154;47.20784040721314;-1.5992799432944385;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.2078404072,-1.59927994329;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-08
0440720U;Ecole maternelle Sully;ECOLE MATERNELLE PUBLIQUE;SULLY;Public;8 allée de la Reine Margot;;;44000;NANTES;Nantes;355896.4;6690199.2;EPSG:2154;47.222844318033104;-1.5497594176652918;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;44;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.222844318,-1.54975941767;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-08
